DateTime,stationId,temp_value,humidity_value,rainfall_value
2024-04-07T18:59:59,S107,28.46248144,78.67770531,0
2024-04-07T17:59:59,S107,28.46248144,78.67770531,0
2024-04-07T16:59:59,S107,28.46248144,78.67770531,0
2024-04-07T15:59:59,S107,28.46248144,78.67770531,0
2024-04-07T14:59:59,S107,28.46248144,78.67770531,0
2024-04-07T13:59:59,S107,28.46248144,78.67770531,0
2024-04-07T12:59:59,S107,28.46248144,78.67770531,0
2024-04-07T11:59:59,S107,28.46248144,78.67770531,0
2024-04-07T10:59:59,S107,28.46248144,78.67770531,0
2024-04-07T09:59:59,S107,28.46248144,78.67770531,0
2024-04-07T08:59:59,S107,28.46248144,78.67770531,0
2024-04-07T07:59:59,S107,28.46248144,78.67770531,0
2024-04-07T06:59:59,S107,28.46248144,78.67770531,0
2024-04-07T05:59:59,S107,28.46248144,78.67770531,0
2024-04-07T04:59:59,S107,28.46248144,78.67770531,0
2024-04-07T03:59:59,S107,28.46248144,78.67770531,0
2024-04-07T02:59:59,S107,28.46248144,78.67770531,0
2024-04-07T01:59:59,S107,28.46248144,78.67770531,0
2024-04-07T00:59:59,S107,28.46248144,78.67770531,0
2024-04-06T23:59:59,S107,28.46248144,78.67770531,0
2024-04-06T22:59:59,S107,28.46248144,78.67770531,0
2024-04-06T21:59:59,S107,28.46248144,78.67770531,0
2024-04-06T20:59:59,S107,28.46248144,78.67770531,0
2024-04-06T19:59:59,S107,28.46248144,78.67770531,0
2024-04-06T18:59:59,S107,28.46248144,78.67770531,0
2024-04-06T17:59:59,S107,28.46248144,78.67770531,0
2024-04-06T16:59:59,S107,28.46248144,78.67770531,0
2024-04-06T15:59:59,S107,28.46248144,78.67770531,0
2024-04-06T14:59:59,S107,28.46248144,78.67770531,0
2024-04-06T13:59:59,S107,28.46248144,78.67770531,0
2024-04-06T12:59:59,S107,28.46248144,78.67770531,0
2024-04-06T11:59:59,S107,28.46248144,78.67770531,0
2024-04-06T10:59:59,S107,28.46248144,78.67770531,0
2024-04-06T09:59:59,S107,28.46248144,78.67770531,0
2024-04-06T08:59:59,S107,28.46248144,78.67770531,0
2024-04-06T07:59:59,S107,28.46248144,78.67770531,0
2024-04-06T06:59:59,S107,28.46248144,78.67770531,0
2024-04-06T05:59:59,S107,28.46248144,78.67770531,0
2024-04-06T04:59:59,S107,28.46248144,78.67770531,0
2024-04-06T03:59:59,S107,28.46248144,78.67770531,0
2024-04-06T02:59:59,S107,28.46248144,78.67770531,0
2024-04-06T01:59:59,S107,28.46248144,78.67770531,0
2024-04-06T00:59:59,S107,28.46248144,78.67770531,0
2024-04-05T23:59:59,S107,28.46248144,78.67770531,0
2024-04-05T22:59:59,S107,28.46248144,78.67770531,0
2024-04-05T21:59:59,S107,28.46248144,78.67770531,0
2024-04-05T20:59:59,S107,28.46248144,78.67770531,0
2024-04-05T19:59:59,S107,28.46248144,78.67770531,0
2024-04-05T18:59:59,S107,28.46248144,78.67770531,0
2024-04-05T17:59:59,S107,28.46248144,78.67770531,0
2024-04-05T16:59:59,S107,28.46248144,78.67770531,0
2024-04-05T15:59:59,S107,28.46248144,78.67770531,0
2024-04-05T14:59:59,S107,28.46248144,78.67770531,0
2024-04-05T13:59:59,S107,28.46248144,78.67770531,0
2024-04-05T12:59:59,S107,28.46248144,78.67770531,0
2024-04-05T11:59:59,S107,28.46248144,78.67770531,0
2024-04-05T10:59:59,S107,28.46248144,78.67770531,0
2024-04-05T09:59:59,S107,28.46248144,78.67770531,0
2024-04-05T08:59:59,S107,28.46248144,78.67770531,0
2024-04-05T07:59:59,S107,28.46248144,78.67770531,0
2024-04-05T06:59:59,S107,28.46248144,78.67770531,0
2024-04-05T05:59:59,S107,28.46248144,78.67770531,0
2024-04-05T04:59:59,S107,28.46248144,78.67770531,0
2024-04-05T03:59:59,S107,28.46248144,78.67770531,0
2024-04-05T02:59:59,S107,28.46248144,78.67770531,0
2024-04-05T01:59:59,S107,28.46248144,78.67770531,0
2024-04-05T00:59:59,S107,28.46248144,78.67770531,0
2024-04-04T23:59:59,S107,28.46248144,78.67770531,0
2024-04-04T22:59:59,S107,28.46248144,78.67770531,0
2024-04-04T21:59:59,S107,28.46248144,78.67770531,0
2024-04-04T20:59:59,S107,28.46248144,78.67770531,0
2024-04-04T19:59:59,S107,28.46248144,78.67770531,0
2024-04-04T18:59:59,S107,28.46248144,78.67770531,0
2024-04-04T17:59:59,S107,28.46248144,78.67770531,0
2024-04-04T16:59:59,S107,28.46248144,78.67770531,0
2024-04-04T15:59:59,S107,28.46248144,78.67770531,0
2024-04-04T14:59:59,S107,28.46248144,78.67770531,0
2024-04-04T13:59:59,S107,28.46248144,78.67770531,0
2024-04-04T12:59:59,S107,28.46248144,78.67770531,0
2024-04-04T11:59:59,S107,28.46248144,78.67770531,0
2024-04-04T10:59:59,S107,28.46248144,78.67770531,0
2024-04-04T09:59:59,S107,28.46248144,78.67770531,0
2024-04-04T08:59:59,S107,28.46248144,78.67770531,0
2024-04-04T07:59:59,S107,28.46248144,78.67770531,0
2024-04-04T06:59:59,S107,28.46248144,78.67770531,0
2024-04-04T05:59:59,S107,28.46248144,78.67770531,0
2024-04-04T04:59:59,S107,28.46248144,78.67770531,0
2024-04-04T03:59:59,S107,28.46248144,78.67770531,0
2024-04-04T02:59:59,S107,28.46248144,78.67770531,0
2024-04-04T01:59:59,S107,28.46248144,78.67770531,0
2024-04-04T00:59:59,S107,28.46248144,78.67770531,0
2024-04-03T23:59:59,S107,28.46248144,78.67770531,0
2024-04-03T22:59:59,S107,28.46248144,78.67770531,0
2024-04-03T21:59:59,S107,28.46248144,78.67770531,0
2024-04-03T20:59:59,S107,28.46248144,78.67770531,0
2024-04-03T19:59:59,S107,28.46248144,78.67770531,0
2024-04-03T18:59:59,S107,28.46248144,78.67770531,0
2024-04-03T17:59:59,S107,28.46248144,78.67770531,0
2024-04-03T16:59:59,S107,28.46248144,78.67770531,0
2024-04-03T15:59:59,S107,28.46248144,78.67770531,0
2024-04-03T14:59:59,S107,28.46248144,78.67770531,0
2024-04-03T13:59:59,S107,28.46248144,78.67770531,0
2024-04-03T12:59:59,S107,28.46248144,78.67770531,0
2024-04-03T11:59:59,S107,28.46248144,78.67770531,0
2024-04-03T10:59:59,S107,28.46248144,78.67770531,0
2024-04-03T09:59:59,S107,28.46248144,78.67770531,0
2024-04-03T08:59:59,S107,28.46248144,78.67770531,0
2024-04-03T07:59:59,S107,28.46248144,78.67770531,0
2024-04-03T06:59:59,S107,28.46248144,78.67770531,0
2024-04-03T05:59:59,S107,28.46248144,78.67770531,0
2024-04-03T04:59:59,S107,28.46248144,78.67770531,0
2024-04-03T03:59:59,S107,28.46248144,78.67770531,0
2024-04-03T02:59:59,S107,28.46248144,78.67770531,0
2024-04-03T01:59:59,S107,28.46248144,78.67770531,0
2024-04-03T00:59:59,S107,28.46248144,78.67770531,0
2024-04-02T23:59:59,S107,28.46248144,78.67770531,0
2024-04-02T22:59:59,S107,28.46248144,78.67770531,0
2024-04-02T21:59:59,S107,28.46248144,78.67770531,0
2024-04-02T20:59:59,S107,28.46248144,78.67770531,0
2024-04-02T19:59:59,S107,28.46248144,78.67770531,0
2024-04-02T18:59:59,S107,28.46248144,78.67770531,0
2024-04-02T17:59:59,S107,28.46248144,78.67770531,0
2024-04-02T16:59:59,S107,28.46248144,78.67770531,0
2024-04-02T15:59:59,S107,28.46248144,78.67770531,0
2024-04-02T14:59:59,S107,28.46248144,78.67770531,0
2024-04-02T13:59:59,S107,28.46248144,78.67770531,0
2024-04-02T12:59:59,S107,28.46248144,78.67770531,0
2024-04-02T11:59:59,S107,28.46248144,78.67770531,0
2024-04-02T10:59:59,S107,28.46248144,78.67770531,0
2024-04-02T09:59:59,S107,28.46248144,78.67770531,0
2024-04-02T08:59:59,S107,28.46248144,78.67770531,0
