Taxi Available throughout SG,temp_value,humidity_value,rainfall_value,peak_period,Average Taxi Availability,IsWeekend,Hour
0.41268134,0.7840237,0.7939086,0.0,0.0,0.51749915,0.0,0.3478261
0.36351424,0.7721894,0.81522846,0.0,0.0,0.4512402,0.0,0.3043478
0.30977967,0.7721894,0.7939086,0.0,0.0,0.38905877,0.0,0.26086956
0.31810856,0.7662722,0.8,0.0,0.0,0.37206933,0.0,0.2173913
0.29419667,0.75739646,0.82436544,0.0,0.0,0.28168535,0.0,0.17391305
0.3334229,0.75739646,0.835533,0.0,0.0,0.27964664,0.0,0.13043478
0.37238044,0.75739646,0.8345177,0.0,0.0,0.2867822,0.0,0.08695652
0.39494896,0.7662722,0.82335025,0.0,0.0,0.2895005,0.0,0.04347826
0.30628693,0.7633136,0.8294416,0.0,0.0,0.24057084,0.0,0.0
0.46292317,0.7721894,0.8121827,0.0,1.0,0.30377167,0.0,1.0
0.37506717,0.775148,0.822335,0.0,1.0,0.25857967,0.0,0.95652175
0.31918323,0.7721894,0.8121827,0.0,1.0,0.22969759,0.0,0.9130435
